word_id	utterance_id	location	surface	auto	fix	eng	com	speaker	langid	filename	clause	clauseno
1	1	1	es	be.V.3S.PRES				GRA	spa	herring11		
2	1	2	en	in.PREP				GRA	spa	herring11		
3	1	3	la	the.DET.DEF.F.SG				GRA	spa	herring11		
4	1	4	en	in.PREP				GRA	spa	herring11		
5	1	5	la	the.DET.DEF.F.SG				GRA	spa	herring11		
6	1	6	primera	first.ORD.F.SG				GRA	spa	herring11		
7	1	7	vez	time.N.F.SG				GRA	spa	herring11		
8	1	8	que	that.PRON.REL				GRA	spa	herring11		
9	1	9	lo	him.PRON.OBJ.M.3S				GRA	spa	herring11		
10	1	10	tocaron	touch.V.3P.PAST				GRA	spa	herring11		
11	1	11	en	in.PREP				GRA	spa	herring11		
12	1	12	mil	thousand.NUM				GRA	spa	herring11		
13	1	13	ochocientos	eight_hundred.N.M.PL				GRA	spa	herring11		
14	1	14	seis	six.NUM				GRA	spa	herring11		
15	1	15	.					GRA	999	herring11		
16	2	1	uhuh	uhuh.IM				CAL	eng&spa	herring11		
17	2	2	.					CAL	999	herring11		
18	3	1	se	self.PRON.REFL.MF.3SP				GRA	spa	herring11		
19	3	2	oyó	hear.V.3S.PAST				GRA	spa	herring11		
20	3	3	y	and.CONJ				GRA	spa	herring11		
21	3	4	ninguno	none.PRON.M.SG				GRA	spa	herring11		
22	3	5	le	him.PRON.OBL.MF.23S				GRA	spa	herring11		
23	3	6	gustó	like.V.3S.PAST				GRA	spa	herring11		
24	3	7	.					GRA	999	herring11		
25	4	1	sí	yes.ADV				CAL	spa	herring11		
26	4	2	.					CAL	999	herring11		
27	5	1	y	and.CONJ				GRA	spa	herring11		
28	5	2	ah	ah.IM				GRA	eng&spa	herring11		
29	5	3	y	and.CONJ				GRA	spa	herring11		
30	5	4	lo	him.PRON.OBJ.M.3S				GRA	spa	herring11		
31	5	5	tocaron	touch.V.3P.PAST				GRA	spa	herring11		
32	5	6	entre	between.PREP				GRA	spa	herring11		
33	5	7	otras	other.ADJ.F.PL				GRA	spa	herring11		
34	5	8	piezas	piece.N.F.PL				GRA	spa	herring11		
35	5	9	.					GRA	999	herring11		
36	6	1	como	like.CONJ				GRA	spa	herring11		
37	6	2	él	he.PRON.SUB.M.3S				GRA	spa	herring11		
38	6	3	tenía	have.V.13S.IMPERF				GRA	spa	herring11		
39	6	4	esa	that.ADJ.DEM.F.SG				GRA	spa	herring11		
40	6	5	costumbre	habit.N.F.SG				GRA	spa	herring11		
41	6	6	de	of.PREP				GRA	spa	herring11		
42	6	7	tener	have.V.INFIN				GRA	spa	herring11		
43	6	8	tanta	so_much.ADJ.F.SG				GRA	spa	herring11		
44	6	9	tanto	so_much.ADJ.M.SG				GRA	spa	herring11		
45	6	10	material	material.N.M.SG				GRA	spa	herring11		
46	6	11	para	for.PREP				GRA	spa	herring11		
47	6	12	tocar	touch.V.INFIN				GRA	spa	herring11		
48	6	13	.					GRA	999	herring11		
49	7	1	y	and.CONJ				GRA	spa	herring11		
50	7	2	entonces	then.ADV				GRA	spa	herring11		
51	7	3	después	afterwards.ADV				GRA	spa	herring11		
52	7	4	dice	tell.V.3S.PRES				GRA	spa	herring11		
53	7	5	.					GRA	999	herring11		
54	8	1	el	the.DET.DEF.M.SG				GRA	spa	herring11		
55	8	2	con	with.PREP				GRA	spa	herring11		
56	8	3	el	the.DET.DEF.M.SG				GRA	spa	herring11		
57	8	4	con	with.PREP				GRA	spa	herring11		
58	8	5	siempre	always.ADV				GRA	spa	herring11		
59	8	6	ha	have.V.3S.PRES				GRA	spa	herring11		
60	8	7	venido	come.V.PASTPART				GRA	spa	herring11		
61	8	8	a	to.PREP				GRA	spa	herring11		
62	8	9	largo	long.ADJ.M.SG				GRA	spa	herring11		
63	8	10	tiempo	time.N.M.SG				GRA	spa	herring11		
64	8	11	.					GRA	999	herring11		
65	9	1	después	afterwards.ADV				GRA	spa	herring11		
66	9	2	de	of.PREP				GRA	spa	herring11		
67	9	3	su	his.ADJ.POSS.MF.3SP.SG				GRA	spa	herring11		
68	9	4	primera	first.ORD.F.SG				GRA	spa	herring11		
69	9	5	creación	creation.N.F.SG				GRA	spa	herring11		
70	9	6	empezó	start.V.3S.PAST				GRA	spa	herring11		
71	9	7	a	to.PREP				GRA	spa	herring11		
72	9	8	estabilizarse	stabilise.V.INFIN+SE[PRON.MF.3S]				GRA	spa	herring11		
73	9	9	cuando	when.CONJ				GRA	spa	herring11		
74	9	10	ya	already.ADV				GRA	spa	herring11		
75	9	11	tenía	have.V.13S.IMPERF				GRA	spa	herring11		
76	9	12	trece	thirteen.NUM				GRA	spa	herring11		
77	9	13	años	year.N.M.PL				GRA	spa	herring11		
78	9	14	Joseph	name				GRA	eng&spa	herring11		
79	9	15	Joachim	name				GRA	eng&spa	herring11		
80	9	16	.					GRA	999	herring11		
81	10	1	era	be.V.13S.IMPERF				GRA	spa	herring11		
82	10	2	una	a.DET.INDEF.F.SG				GRA	spa	herring11		
83	10	3	persona	person.N.F.SG				GRA	spa	herring11		
84	10	4	que	that.PRON.REL				GRA	spa	herring11		
85	10	5	conocía	meet.V.13S.IMPERF				GRA	spa	herring11		
86	10	6	Beethoven	name				GRA	eng&spa	herring11		
87	10	7	.					GRA	999	herring11		
88	11	1	que	that.CONJ				CAL	spa	herring11		
89	11	2	Beethoven	name				CAL	eng&spa	herring11		
90	11	3	conocía	meet.V.13S.IMPERF				CAL	spa	herring11		
91	11	4	.					CAL	999	herring11		
92	12	1	en	in.PREP				GRA	spa	herring11		
93	12	2	memoria	memory.N.F.SG				GRA	spa	herring11		
94	12	3	a	to.PREP				GRA	spa	herring11		
95	12	4	.					GRA	999	herring11		
96	13	1	o	or.CONJ				GRA	spa	herring11		
97	13	2	lo	him.PRON.OBJ.M.3S				GRA	spa	herring11		
98	13	3	tocó	touch.V.3S.PAST				GRA	spa	herring11		
99	13	4	de	of.PREP				GRA	spa	herring11		
100	13	5	memoria	memory.N.F.SG				GRA	spa	herring11		
101	13	6	en	in.PREP				GRA	spa	herring11		
102	13	7	Londres	name				GRA	spa	herring11		
103	13	8	por	for.PREP				GRA	spa	herring11		
104	13	9	primera	first.ORD.F.SG				GRA	spa	herring11		
105	13	10	vez	time.N.F.SG				GRA	spa	herring11		
106	13	11	en	in.PREP				GRA	spa	herring11		
107	13	12	mil	thousand.NUM				GRA	spa	herring11		
108	13	13	ochocientos	eight_hundred.N.M.PL				GRA	spa	herring11		
109	13	14	cuarenta	forty.NUM				GRA	spa	herring11		
110	13	15	y	and.CONJ				GRA	spa	herring11		
111	13	16	cuatro	four.NUM				GRA	spa	herring11		
112	13	17	.					GRA	999	herring11		
113	14	1	y	and.CONJ				GRA	spa	herring11		
114	14	2	Mendelssohn	name				GRA	eng&spa	herring11		
115	14	3	estaba	be.V.13S.IMPERF				GRA	spa	herring11		
116	14	4	ahí	there.ADV				GRA	spa	herring11		
117	14	5	.					GRA	999	herring11		
118	15	1	la	the.DET.DEF.F.SG				GRA	spa	herring11		
119	15	2	el	the.DET.DEF.M.SG				GRA	spa	herring11		
120	15	3	la	the.DET.DEF.F.SG				GRA	spa	herring11		
121	15	4	composición	composition.N.F.SG				GRA	spa	herring11		
122	15	5	es	be.V.3S.PRES				GRA	spa	herring11		
123	15	6	increíblemente	unbelievably.ADV				GRA	spa	herring11		
124	15	7	asociada	associate.V.F.SG.PASTPART				GRA	spa	herring11		
125	15	8	a	to.PREP				GRA	spa	herring11		
126	15	9	Joachim	name				GRA	eng&spa	herring11		
127	15	10	porque	because.CONJ				GRA	spa	herring11		
128	15	11	la	her.PRON.OBJ.F.3S				GRA	spa	herring11		
129	15	12	tocó	touch.V.3S.PAST				GRA	spa	herring11		
130	15	13	ahí	there.ADV				GRA	spa	herring11		
131	15	14	primero	first.ADV				GRA	spa	herring11		
132	15	15	la	the.DET.DEF.F.SG				GRA	spa	herring11		
133	15	16	primera	first.ORD.F.SG				GRA	spa	herring11		
134	15	17	vez	time.N.F.SG				GRA	spa	herring11		
135	15	18	.					GRA	999	herring11		
136	16	1	pero	but.CONJ				GRA	spa	herring11		
137	16	2	Huberman	name				GRA	eng&spa	herring11		
138	16	3	Adolf	name				GRA	eng&spa	herring11		
139	16	4	Busch	name				GRA	eng&spa	herring11		
140	16	5	Szigeti	name				GRA	eng&spa	herring11		
141	16	6	Milstein	name				GRA	eng&spa	herring11		
142	16	7	Hogan	name				GRA	eng&spa	herring11		
143	16	8	Hermann	name				GRA	eng&spa	herring11		
144	16	9	y	and.CONJ				GRA	spa	herring11		
145	16	10	otros	others.PRON.M.PL				GRA	spa	herring11		
146	16	11	y	and.CONJ				GRA	spa	herring11		
147	16	12	no	not.ADV				GRA	spa	herring11		
148	16	13	y	and.CONJ				GRA	spa	herring11		
149	16	14	no	not.ADV				GRA	spa	herring11		
150	16	15	menos	less.ADV.[or].except.PREP				GRA	spa	herring11		
151	16	16	.					GRA	999	herring11		
152	17	1	pero	but.CONJ				GRA	spa	herring11		
153	17	2	de	of.PREP				GRA	spa	herring11		
154	17	3	todas	all.ADJ.F.PL				GRA	spa	herring11		
155	17	4	maneras	way.N.F.PL				GRA	spa	herring11		
156	17	5	es	be.V.3S.PRES				GRA	spa	herring11		
157	17	6	el	the.DET.DEF.M.SG				GRA	spa	herring11		
158	17	7	concierto	concerto.N.M.SG				GRA	spa	herring11		
159	17	8	más	more.ADV				GRA	spa	herring11		
160	17	9	difícil	difficult.ADJ.M.SG				GRA	spa	herring11		
161	17	10	de	of.PREP				GRA	spa	herring11		
162	17	11	tocar	touch.V.INFIN				GRA	spa	herring11		
163	17	12	.					GRA	999	herring11		
164	18	1	Bueno	name				CAL	spa	herring11		
165	18	2	ese	that.PRON.DEM.M.SG				CAL	spa	herring11		
166	18	3	ese	that.PRON.DEM.M.SG				CAL	spa	herring11		
167	18	4	según	according.CONJ.[or].according.PREP				CAL	spa	herring11		
168	18	5	según	according.CONJ.[or].according.PREP				CAL	spa	herring11		
169	18	6	ese	that.ADJ.DEM.M.SG				CAL	spa	herring11		
170	18	7	escritor	writer.N.M.SG				CAL	spa	herring11		
171	18	8	.					CAL	999	herring11		
172	19	1	.					GRA	999	herring11		
173	20	1	pero	but.CONJ				CAL	spa	herring11		
174	20	2	hay	there_is.V.3S.PRES				CAL	spa	herring11		
175	20	3	hay	there_is.V.3S.PRES				CAL	spa	herring11		
176	20	4	otros	other.ADJ.M.PL				CAL	spa	herring11		
177	20	5	escritores	writer.N.M.PL				CAL	spa	herring11		
178	20	6	que	that.PRON.REL				CAL	spa	herring11		
179	20	7	han	have.V.3P.PRES				CAL	spa	herring11		
180	20	8	dado	give.V.PASTPART				CAL	spa	herring11		
181	20	9	opiniones	opinion.N.F.PL				CAL	spa	herring11		
182	20	10	.					CAL	999	herring11		
183	21	1	lo	the.DET.DEF.NT.SG				CAL	spa	herring11		
184	21	2	que	that.PRON.REL				CAL	spa	herring11		
185	21	3	sucede	happen.V.3S.PRES				CAL	spa	herring11		
186	21	4	es	be.V.3S.PRES				CAL	spa	herring11		
187	21	5	esto	this.PRON.DEM.NT.SG				CAL	spa	herring11		
188	21	6	.					CAL	999	herring11		
189	22	1	era	era.N.F.SG				CAL	spa	herring11		
190	22	2	que	that.PRON.REL				CAL	spa	herring11		
191	22	3	muchos	much.ADJ.M.PL.[or].many.PRON.M.PL				CAL	spa	herring11		
192	22	4	de	of.PREP				CAL	spa	herring11		
193	22	5	esas	that.PRON.DEM.F.PL				CAL	spa	herring11		
194	22	6	Beethoven	name				CAL	eng&spa	herring11		
195	22	7	puso	put.V.3S.PAST				CAL	spa	herring11		
196	22	8	una	a.DET.INDEF.F.SG				CAL	spa	herring11		
197	22	9	música	music.N.F.SG				CAL	spa	herring11		
198	22	10	diferente	different.ADJ.MF.SG				CAL	spa	herring11		
199	22	11	a	to.PREP				CAL	spa	herring11		
200	22	12	la	the.DET.DEF.F.SG				CAL	spa	herring11		
201	22	13	de	of.PREP				CAL	spa	herring11		
202	22	14	su	his.ADJ.POSS.MF.3SP.SG				CAL	spa	herring11		
203	22	15	tiempo	time.N.M.SG				CAL	spa	herring11		
204	22	16	.					CAL	999	herring11		
205	23	1	y	and.CONJ				CAL	spa	herring11		
206	23	2	él	he.PRON.SUB.M.3S				CAL	spa	herring11		
207	23	3	rompió	smash.V.3S.PAST				CAL	spa	herring11		
208	23	4	el	the.DET.DEF.M.SG				CAL	spa	herring11		
209	23	5	el	the.DET.DEF.M.SG				CAL	spa	herring11		
210	23	6	el	the.DET.DEF.M.SG				CAL	spa	herring11		
211	23	7	el	the.DET.DEF.M.SG				CAL	spa	herring11		
212	23	8	ritmo	rhythm.N.M.SG				CAL	spa	herring11		
213	23	9	la	the.DET.DEF.F.SG				CAL	spa	herring11		
214	23	10	o	or.CONJ				CAL	spa	herring11		
215	23	11	la	the.DET.DEF.F.SG				CAL	spa	herring11		
216	23	12	las	the.DET.DEF.F.PL				CAL	spa	herring11		
217	23	13	impresiones	printing.N.F.PL				CAL	spa	herring11		
218	23	14	.					CAL	999	herring11		
219	24	1	él	he.PRON.SUB.M.3S				CAL	spa	herring11		
220	24	2	él	he.PRON.SUB.M.3S				CAL	spa	herring11		
221	24	3	salió	exit.V.3S.PAST				CAL	spa	herring11		
222	24	4	de	of.PREP				CAL	spa	herring11		
223	24	5	de	of.PREP				CAL	spa	herring11		
224	24	6	lo	the.DET.DEF.NT.SG				CAL	spa	herring11		
225	24	7	clásico	classic.ADJ.M.SG				CAL	spa	herring11		
226	24	8	a	to.PREP				CAL	spa	herring11		
227	24	9	lo	the.DET.DEF.NT.SG				CAL	spa	herring11		
228	24	10	romántico	romantic.ADJ.M.SG				CAL	spa	herring11		
229	24	11	.					CAL	999	herring11		
230	25	1	él	he.PRON.SUB.M.3S				CAL	spa	herring11		
231	25	2	fue	be.V.3S.PAST				CAL	spa	herring11		
232	25	3	el	the.DET.DEF.M.SG				CAL	spa	herring11		
233	25	4	primer	first.ORD.M.SG				CAL	spa	herring11		
234	25	5	romántico	romantic.ADJ.M.SG				CAL	spa	herring11		
235	25	6	.					CAL	999	herring11		
236	26	1	en	in.PREP				CAL	spa	herring11		
237	26	2	en	in.PREP				CAL	spa	herring11		
238	26	3	y	and.CONJ				CAL	spa	herring11		
239	26	4	y	and.CONJ				CAL	spa	herring11		
240	26	5	muchas	much.ADJ.F.PL.[or].many.PRON.F.PL				CAL	spa	herring11		
241	26	6	de	of.PREP				CAL	spa	herring11		
242	26	7	sus	his.ADJ.POSS.MF.3SP.PL				CAL	spa	herring11		
243	26	8	especialmente	specially.ADV				CAL	spa	herring11		
244	26	9	en	in.PREP				CAL	spa	herring11		
245	26	10	su	his.ADJ.POSS.MF.3SP.SG				CAL	spa	herring11		
246	26	11	período	period.N.M.SG				CAL	spa	herring11		
247	26	12	en	in.PREP				CAL	spa	herring11		
248	26	13	su	his.ADJ.POSS.MF.3SP.SG				CAL	spa	herring11		
249	26	14	del	of_the.PREP+DET.DEF.M.SG				CAL	spa	herring11		
250	26	15	medio	half.ADJ.M.SG				CAL	spa	herring11		
251	26	16	segundo	second.N.M.SG.[or].second.ORD.M.SG				CAL	spa	herring11		
252	26	17	período	period.N.M.SG				CAL	spa	herring11		
253	26	18	de	of.PREP				CAL	spa	herring11		
254	26	19	composición	composition.N.F.SG				CAL	spa	herring11		
255	26	20	.					CAL	999	herring11		
256	27	1	él	he.PRON.SUB.M.3S				CAL	spa	herring11		
257	27	2	empezó	start.V.3S.PAST				CAL	spa	herring11		
258	27	3	a	to.PREP				CAL	spa	herring11		
259	27	4	crear	create.V.INFIN				CAL	spa	herring11		
260	27	5	cosas	thing.N.F.PL.[or].sew.V.2S.SUBJ.PRES				CAL	spa	herring11		
261	27	6	diferentes	different.ADJ.MF.PL				CAL	spa	herring11		
262	27	7	a	to.PREP				CAL	spa	herring11		
263	27	8	lo	the.DET.DEF.NT.SG				CAL	spa	herring11		
264	27	9	que	that.PRON.REL				CAL	spa	herring11		
265	27	10	lo	the.DET.DEF.NT.SG				CAL	spa	herring11		
266	27	11	que	that.PRON.REL				CAL	spa	herring11		
267	27	12	Mozart	name				CAL	eng&spa	herring11		
268	27	13	y	and.CONJ				CAL	spa	herring11		
269	27	14	Haydn	name				CAL	eng&spa	herring11		
270	27	15	habían	have.V.3P.IMPERF				CAL	spa	herring11		
271	27	16	hecho	do.V.PASTPART				CAL	spa	herring11		
272	27	17	anteriormente	previously.ADV				CAL	spa	herring11		
273	27	18	.					CAL	999	herring11		
274	28	1	y	and.CONJ				CAL	spa	herring11		
275	28	2	él	he.PRON.SUB.M.3S				CAL	spa	herring11		
276	28	3	empezó	start.V.3S.PAST				CAL	spa	herring11		
277	28	4	a	to.PREP				CAL	spa	herring11		
278	28	5	crear	create.V.INFIN				CAL	spa	herring11		
279	28	6	cosas	thing.N.F.PL.[or].sew.V.2S.SUBJ.PRES				CAL	spa	herring11		
280	28	7	románticas	romantic.ADJ.F.PL				CAL	spa	herring11		
281	28	8	él	he.PRON.SUB.M.3S				CAL	spa	herring11		
282	28	9	.					CAL	999	herring11		
283	29	1	por	for.PREP				CAL	spa	herring11		
284	29	2	eso	that.PRON.DEM.NT.SG				CAL	spa	herring11		
285	29	3	se	self.PRON.REFL.MF.3SP				CAL	spa	herring11		
286	29	4	le	him.PRON.OBL.MF.23S				CAL	spa	herring11		
287	29	5	considera	reckon.V.3S.PRES				CAL	spa	herring11		
288	29	6	a	to.PREP				CAL	spa	herring11		
289	29	7	él	he.PRON.OBJ.M.3S				CAL	spa	herring11		
290	29	8	el	the.DET.DEF.M.SG				CAL	spa	herring11		
291	29	9	el	the.DET.DEF.M.SG				CAL	spa	herring11		
292	29	10	más	more.ADV				CAL	spa	herring11		
293	29	11	el	the.DET.DEF.M.SG				CAL	spa	herring11		
294	29	12	primer	first.ORD.M.SG				CAL	spa	herring11		
295	29	13	romántico	romantic.ADJ.M.SG				CAL	spa	herring11		
296	29	14	.					CAL	999	herring11		
297	30	1	porque	because.CONJ				CAL	spa	herring11		
298	30	2	.					CAL	999	herring11		
299	31	1	y	and.CONJ				GRA	spa	herring11		
300	31	2	y	and.CONJ				GRA	spa	herring11		
301	31	3	nada	nothing.PRON				GRA	spa	herring11		
302	31	4	de	of.PREP				GRA	spa	herring11		
303	31	5	romántico	romantic.ADJ.M.SG				GRA	spa	herring11		
304	31	6	tiene	have.V.3S.PRES				GRA	spa	herring11		
305	31	7	la	the.DET.DEF.F.SG				GRA	spa	herring11		
306	31	8	cara	face.N.F.SG				GRA	spa	herring11		
307	31	9	esa	that.PRON.DEM.F.SG				GRA	spa	herring11		
308	31	10	de	of.PREP				GRA	spa	herring11		
309	31	11	ese	that.ADJ.DEM.M.SG				GRA	spa	herring11		
310	31	12	hombre	man.N.M.SG				GRA	spa	herring11		
311	31	13	.					GRA	999	herring11		
312	32	1	.					CAL	999	herring11		
313	33	1	pero	but.CONJ				CAL	spa	herring11		
314	33	2	y	and.CONJ				CAL	spa	herring11		
315	33	3	y	and.CONJ				CAL	spa	herring11		
316	33	4	recuerda	recall.V.3S.PRES				CAL	spa	herring11		
317	33	5	que	that.CONJ				CAL	spa	herring11		
318	33	6	ya	already.ADV				CAL	spa	herring11		
319	33	7	a	to.PREP				CAL	spa	herring11		
320	33	8	ese	that.ADJ.DEM.M.SG				CAL	spa	herring11		
321	33	9	momento	momentum.N.M.SG				CAL	spa	herring11		
322	33	10	empezó	start.V.3S.PAST				CAL	spa	herring11		
323	33	11	él	he.PRON.SUB.M.3S				CAL	spa	herring11		
324	33	12	empezó	start.V.3S.PAST				CAL	spa	herring11		
325	33	13	a	to.PREP				CAL	spa	herring11		
326	33	14	a	to.PREP				CAL	spa	herring11		
327	33	15	a	to.PREP				CAL	spa	herring11		
328	33	16	estar	be.V.INFIN				CAL	spa	herring11		
329	33	17	tener	have.V.INFIN				CAL	spa	herring11		
330	33	18	problema	trouble.N.M.SG				CAL	spa	herring11		
331	33	19	con	with.PREP				CAL	spa	herring11		
332	33	20	el	the.DET.DEF.M.SG				CAL	spa	herring11		
333	33	21	oído	hearing.N.M.SG				CAL	spa	herring11		
334	33	22	.					CAL	999	herring11		
335	34	1	que	that.CONJ				CAL	spa	herring11		
336	34	2	él	he.PRON.SUB.M.3S				CAL	spa	herring11		
337	34	3	empezó	start.V.3S.PAST				CAL	spa	herring11		
338	34	4	a	to.PREP				CAL	spa	herring11		
339	34	5	a	to.PREP				CAL	spa	herring11		
340	34	6	a	to.PREP				CAL	spa	herring11		
341	34	7	ensordecer	deafen.V.INFIN				CAL	spa	herring11		
342	34	8	o	or.CONJ				CAL	spa	herring11		
343	34	9	a	to.PREP				CAL	spa	herring11		
344	34	10	tener	have.V.INFIN				CAL	spa	herring11		
345	34	11	que	that.CONJ				CAL	spa	herring11		
346	34	12	ya	already.ADV				CAL	spa	herring11		
347	34	13	no	not.ADV				CAL	spa	herring11		
348	34	14	podía	be_able.V.13S.IMPERF				CAL	spa	herring11		
349	34	15	escuchar	listen.V.INFIN				CAL	spa	herring11		
350	34	16	bien	well.ADV				CAL	spa	herring11		
351	34	17	las	the.DET.DEF.F.PL				CAL	spa	herring11		
352	34	18	cosas	thing.N.F.PL				CAL	spa	herring11		
353	34	19	.					CAL	999	herring11		
354	35	1	claro	of_course.E				CAL	spa	herring11		
355	35	2	a	to.PREP				CAL	spa	herring11		
356	35	3	lo	the.DET.DEF.NT.SG				CAL	spa	herring11		
357	35	4	último	latter.ORD.M.SG				CAL	spa	herring11		
358	35	5	las	the.DET.DEF.F.PL				CAL	spa	herring11		
359	35	6	composiciones	composition.N.F.PL				CAL	spa	herring11		
360	35	7	del	of_the.PREP+DET.DEF.M.SG				CAL	spa	herring11		
361	35	8	tercer	third.ORD.M.SG				CAL	spa	herring11		
362	35	9	período	period.N.M.SG				CAL	spa	herring11		
363	35	10	período	period.N.M.SG				CAL	spa	herring11		
364	35	11	de	of.PREP				CAL	spa	herring11		
