word_id	utterance_id	location	surface	auto	fix	com	eng	speaker	langid	filename	clause	clauseno
1	1	1	so	so.ADV				MAT	eng	zeledon2		
2	1	2	where	where.REL				MAT	eng	zeledon2		
3	1	3	do	do.SV.INFIN				MAT	eng	zeledon2		
4	1	4	you	you.PRON.SUB.2SP				MAT	eng	zeledon2		
5	1	5	work	work.V.2SP.PRES				MAT	eng	zeledon2		
6	1	6	?					MAT	999	zeledon2		
7	2	1	I	I.PRON.SUB.1S				REB	eng	zeledon2		
8	2	2	work	work.V.1S.PRES				REB	eng	zeledon2		
9	2	3	well	well.ADV				REB	eng	zeledon2		
10	2	4	I'm	I.PRON.SUB.1S+BE.V.PRES				REB	eng	zeledon2		
11	2	5	currently	current.ADJ+ADV.[or].currently.ADV				REB	eng	zeledon2		
12	2	6	employed	employ.SV.INFIN+AV				REB	eng	zeledon2		
13	2	7	by	by.PREP				REB	eng	zeledon2		
14	2	8	.					REB	999	zeledon2		
15	3	1	I	I.PRON.SUB.1S				REB	eng	zeledon2		
16	3	2	have	have.V.1S.PRES				REB	eng	zeledon2		
17	3	3	my	my.ADJ.POSS.1S				REB	eng	zeledon2		
18	3	4	broker	broker.N.SG				REB	eng	zeledon2		
19	3	5	.					REB	999	zeledon2		
20	4	1	he's	he.PRON.SUB.M.3S+BE.V.3S.PRES				REB	eng	zeledon2		
21	4	2	a	a.DET.INDEF				REB	eng	zeledon2		
22	4	3	real	real.ADJ				REB	eng	zeledon2		
23	4	4	estate	estate.N.SG				REB	eng	zeledon2		
24	4	5	broker	broker.N.SG				REB	eng	zeledon2		
25	4	6	.					REB	999	zeledon2		
26	5	1	my	my.ADJ.POSS.1S				REB	eng	zeledon2		
27	5	2	attorney	attorney.N.SG				REB	eng	zeledon2		
28	5	3	he's	he.PRON.SUB.M.3S+BE.V.3S.PRES				REB	eng	zeledon2		
29	5	4	a	a.DET.INDEF				REB	eng	zeledon2		
30	5	5	real	real.ADJ				REB	eng	zeledon2		
31	5	6	estate	estate.N.SG				REB	eng	zeledon2		
32	5	7	attorney	attorney.N.SG				REB	eng	zeledon2		
33	5	8	.					REB	999	zeledon2		
34	6	1	mmhm	mmhm.IM				MAT	eng	zeledon2		
35	6	2	.					MAT	999	zeledon2		
36	7	1	I	I.PRON.SUB.1S				REB	eng	zeledon2		
37	7	2	work	work.V.1S.PRES				REB	eng	zeledon2		
38	7	3	for	for.PREP				REB	eng	zeledon2		
39	7	4	a	a.DET.INDEF				REB	eng	zeledon2		
40	7	5	title	title.N.SG				REB	eng	zeledon2		
41	7	6	company	company.N.SG				REB	eng	zeledon2		
42	7	7	.					REB	999	zeledon2		
43	8	1	I	I.PRON.SUB.1S				REB	eng	zeledon2		
44	8	2	work	work.V.1S.PRES				REB	eng	zeledon2		
45	8	3	because	because.CONJ				REB	eng	zeledon2		
46	8	4	um	um.IM				REB	eng	zeledon2		
47	8	5	.					REB	999	zeledon2		
48	9	1	my	my.ADJ.POSS.1S				REB	eng	zeledon2		
49	9	2	attorney	attorney.N.SG				REB	eng	zeledon2		
50	9	3	consolidated	consolidate.V.PAST				REB	eng	zeledon2		
51	9	4	with	with.PREP				REB	eng	zeledon2		
52	9	5	the	the.DET.DEF				REB	eng	zeledon2		
53	9	6	broker	broker.N.SG				REB	eng	zeledon2		
54	9	7	.					REB	999	zeledon2		
55	10	1	he	he.PRON.SUB.M.3S				REB	eng	zeledon2		
56	10	2	owns	own.ADJ+V 3S PRES				REB	eng	zeledon2		
57	10	3	both	both.ADJ				REB	eng	zeledon2		
58	10	4	businesses	business.N.PL				REB	eng	zeledon2		
59	10	5	.					REB	999	zeledon2		
60	11	1	but	but.CONJ				REB	eng	zeledon2		
61	11	2	like	like.CONJ.[or].like.V.INFIN				REB	eng	zeledon2		
