word_id	utterance_id	location	surface	auto	fix	eng	speaker	langid	filename	clause	clauseno
1	1	1	so	so.ADV			BRA	eng	herring15		
2	1	2	you	you.PRON.SUB.2SP			BRA	eng	herring15		
3	1	3	don't	do.V.2SP.PRES+NEG			BRA	eng	herring15		
4	1	4	even	even.ADV			BRA	eng	herring15		
5	1	5	look	look.V.INFIN			BRA	eng	herring15		
6	1	6	at	at.PREP			BRA	eng	herring15		
7	1	7	a	a.DET.INDEF			BRA	eng	herring15		
8	1	8	computer	computer.N.SG			BRA	eng	herring15		
9	1	9	.				BRA	999	herring15		
10	2	1	like	like.CONJ			BRA	eng	herring15		
11	2	2	he	he.PRON.SUB.M.3S			BRA	eng	herring15		
12	2	3	just	just.ADJ.[or].just.ADV			BRA	eng	herring15		
13	2	4	like	like.CONJ			BRA	eng	herring15		
14	2	5	he	he.PRON.SUB.M.3S			BRA	eng	herring15		
15	2	6	does	does.V.3S.PRES			BRA	eng	herring15		
16	2	7	it	it.PRON.OBJ.3S			BRA	eng	herring15		
17	2	8	.				BRA	999	herring15		
18	3	1	but	but.CONJ			BRA	eng	herring15		
19	3	2	he	he.PRON.SUB.M.3S			BRA	eng	herring15		
20	3	3	just	just.ADV			BRA	eng	herring15		
21	3	4	does	does.V.INFIN			BRA	eng	herring15		
22	3	5	as	as.CONJ			BRA	eng	herring15		
23	3	6	far	far.ADV			BRA	eng	herring15		
24	3	7	as	as.CONJ			BRA	eng	herring15		
25	3	8	he	he.PRON.SUB.M.3S			BRA	eng	herring15		
26	3	9	gets	get.V.3S.PRES			BRA	eng	herring15		
27	3	10	you	you.PRON.SUB.2SP			BRA	eng	herring15		
28	3	11	know	know.V.2SP.PRES			BRA	eng	herring15		
29	3	12	what	what.REL			BRA	eng	herring15		
30	3	13	I	I.PRON.SUB.1S			BRA	eng	herring15		
31	3	14	mean	mean.V.1S.PRES			BRA	eng	herring15		
32	3	15	?				BRA	999	herring15		
33	4	1	yeah	yeah.ADV			EVN	eng	herring15		
34	4	2	.				EVN	999	herring15		
35	5	1	and	and.CONJ			BRA	eng	herring15		
36	5	2	like	like.CONJ			BRA	eng	herring15		
37	5	3	he'll	he.PRON.SUB.M.3S+BE.V.FUT			BRA	eng	herring15		
38	5	4	have	have.V.3S.PRES			BRA	eng	herring15		
39	5	5	time	time.N.SG			BRA	eng	herring15		
40	5	6	to	to.PREP			BRA	eng	herring15		
41	5	7	do	do.V.INFIN			BRA	eng	herring15		
42	5	8	like	like.CONJ			BRA	eng	herring15		
43	5	9	maybe	maybe.ADV			BRA	eng	herring15		
44	5	10	.				BRA	999	herring15		
45	6	1	like	like.CONJ			BRA	eng	herring15		
46	6	2	we	we.PRON.SUB.1P			BRA	eng	herring15		
47	6	3	have	have.V.1P.PRES			BRA	eng	herring15		
48	6	4	to	to.PREP			BRA	eng	herring15		
49	6	5	turn	turn.V.INFIN			BRA	eng	herring15		
50	6	6	in	in.PREP			BRA	eng	herring15		
51	6	7	a	a.DET.INDEF			BRA	eng	herring15		
52	6	8	project	project.N.SG			BRA	eng	herring15		
53	6	9	for	for.PREP			BRA	eng	herring15		
54	6	10	.				BRA	999	herring15		
55	7	1	like	like.CONJ.[or].like.V.INFIN			BRA	eng	herring15		
56	7	2	every	every.ADJ			BRA	eng	herring15		
57	7	3	couple	couple.N.SG			BRA	eng	herring15		
58	7	4	three	three.NUM			BRA	eng	herring15		
59	7	5	weeks	week.N.PL			BRA	eng	herring15		
60	7	6	you	you.PRON.SUB.2SP			BRA	eng	herring15		
61	7	7	turn	turn.V.2SP.PRES			BRA	eng	herring15		
62	7	8	in	in.PREP			BRA	eng	herring15		
63	7	9	a	a.DET.INDEF			BRA	eng	herring15		
64	7	10	project	project.N.SG			BRA	eng	herring15		
65	7	11	.				BRA	999	herring15		
66	8	1	and	and.CONJ			BRA	eng	herring15		
67	8	2	then	then.ADV			BRA	eng	herring15		
68	8	3	we	we.PRON.SUB.1P			BRA	eng	herring15		
69	8	4	have	have.V.1P.PRES			BRA	eng	herring15		
70	8	5	to	to.PREP			BRA	eng	herring15		
71	8	6	do	do.V.INFIN			BRA	eng	herring15		
72	8	7	like	like.CONJ			BRA	eng	herring15		
73	8	8	one	one.PRON.SG			BRA	eng	herring15		
74	8	9	two	two.NUM			BRA	eng	herring15		
75	8	10	or	or.CONJ			BRA	eng	herring15		
76	8	11	three	three.NUM			BRA	eng	herring15		
77	8	12	tutorials	tutorial.N.PL			BRA	eng	herring15		
78	8	13	.				BRA	999	herring15		
79	9	1	and	and.CONJ			BRA	eng	herring15		
80	9	2	when	when.CONJ			BRA	eng	herring15		
81	9	3	he	he.PRON.SUB.M.3S			BRA	eng	herring15		
82	9	4	does	does.V.3S.PRES			BRA	eng	herring15		
83	9	5	the	the.DET.DEF			BRA	eng	herring15		
84	9	6	tutorials	tutorial.N.PL			BRA	eng	herring15		
85	9	7	like	like.CONJ			BRA	eng	herring15		
86	9	8	he'll	he.PRON.SUB.M.3S+BE.V.FUT			BRA	eng	herring15		
87	9	9	get	get.V.3S.PRES			BRA	eng	herring15		
88	9	10	through	through.PREP			BRA	eng	herring15		
89	9	11	like	like.V.INFIN			BRA	eng	herring15		
90	9	12	one	one.PRON.SG			BRA	eng	herring15		
91	9	13	in	in.PREP			BRA	eng	herring15		
92	9	14	each	each.ADJ			BRA	eng	herring15		
93	9	15	class	class.N.SG			BRA	eng	herring15		
94	9	16	.				BRA	999	herring15		
95	10	1	but	but.CONJ			BRA	eng	herring15		
96	10	2	he	he.PRON.SUB.M.3S			BRA	eng	herring15		
97	10	3	won't	will.V.3S.FUT+NEG			BRA	eng	herring15		
98	10	4	like	like.CONJ			BRA	eng	herring15		
99	10	5	he	he.PRON.SUB.M.3S			BRA	eng	herring15		
100	10	6	won't	will.V.3S.FUT+NEG			BRA	eng	herring15		
101	10	7	go	go.SV.INFIN			BRA	eng	herring15		
102	10	8	over	over.ADV.[or].over.PREP			BRA	eng	herring15		
103	10	9	all	all.ADJ			BRA	eng	herring15		
104	10	10	the	the.DET.DEF			BRA	eng	herring15		
105	10	11	material	material.N.SG			BRA	eng	herring15		
106	10	12	.				BRA	999	herring15		
107	11	1	the	the.DET.DEF			BRA	eng	herring15		
108	11	2	projects	project.N.PL			BRA	eng	herring15		
109	11	3	take	take.V.3P.PRES			BRA	eng	herring15		
110	11	4	like	like.CONJ			BRA	eng	herring15		
111	11	5	four	four.NUM			BRA	eng	herring15		
112	11	6	hours	hour.N.PL			BRA	eng	herring15		
113	11	7	to	to.PREP			BRA	eng	herring15		
114	11	8	do	do.V.INFIN			BRA	eng	herring15		
115	11	9	so	so.ADV			BRA	eng	herring15		
116	11	10	mmm	mmm.IM			BRA	eng	herring15		
117	11	11	.				BRA	999	herring15		
118	12	1	so	so.ADV			BRA	eng	herring15		
119	12	2	he	he.PRON.SUB.M.3S			BRA	eng	herring15		
120	12	3	doesn't	does.V.3S.PRES+NEG			BRA	eng	herring15		
121	12	4	go	go.SV.INFIN			BRA	eng	herring15		
122	12	5	over	over.ADV.[or].over.PREP			BRA	eng	herring15		
123	12	6	all	all.ADJ			BRA	eng	herring15		
124	12	7	the	the.DET.DEF			BRA	eng	herring15		
125	12	8	material	material.N.SG			BRA	eng	herring15		
126	12	9	.				BRA	999	herring15		
127	13	1	and	and.CONJ			BRA	eng	herring15		
128	13	2	the	the.DET.DEF			BRA	eng	herring15		
129	13	3	only	only.ADJ.[or].on.PREP+ADV			BRA	eng	herring15		
130	13	4	time	time.N.SG			BRA	eng	herring15		
131	13	5	that	that.CONJ			BRA	eng	herring15		
132	13	6	we	we.PRON.SUB.1P			BRA	eng	herring15		
133	13	7	like	like.V.1P.PRES			BRA	eng	herring15		
134	13	8	actually	actual.ADJ+ADV			BRA	eng	herring15		
135	13	9	have	have.V.INFIN			BRA	eng	herring15		
136	13	10	in_class	unk			BRA	eng	herring15		
137	13	11	time	time.N.SG			BRA	eng	herring15		
138	13	12	with	with.PREP			BRA	eng	herring15		
139	13	13	the	the.DET.DEF			BRA	eng	herring15		
140	13	14	computer	computer.N.SG			BRA	eng	herring15		
141	13	15	like	like.CONJ.[or].like.V.INFIN			BRA	eng	herring15		
142	13	16	the	the.DET.DEF			BRA	eng	herring15		
143	13	17	teacher	teacher.N.SG.[or].teach.N.SG.AG			BRA	eng	herring15		
144	13	18	like	like.CONJ.[or].like.N.SG			BRA	eng	herring15		
145	13	19	can	can.V.123SP.PRES			BRA	eng	herring15		
146	13	20	help	help.V.INFIN			BRA	eng	herring15		
147	13	21	you	you.PRON.SUB.2SP			BRA	eng	herring15		
148	13	22	.				BRA	999	herring15		
149	14	1	uhuh	uhuh.IM			EVN	eng	herring15		
150	14	2	.				EVN	999	herring15		
151	15	1	is	is.V.3S.PRES			BRA	eng	herring15		
152	15	2	on	on.PREP			BRA	eng	herring15		
153	15	3	Thursdays	name			BRA	eng	herring15		
154	15	4	.				BRA	999	herring15		
