word_id	utterance_id	location	surface	auto	fix	eng	com	speaker	langid	filename	clause	clauseno
1	1	1	well	well.ADV				CHL	eng	herring1		
2	1	2	she	she.PRON.SUB.F.3S				CHL	eng	herring1		
3	1	3	was	was.V.3S.PAST				CHL	eng	herring1		
4	1	4	telling	tell.V.PRESPART				CHL	eng	herring1		
5	1	5	me	me.PRON.OBJ.1S				CHL	eng	herring1		
6	1	6	about	about.PREP				CHL	eng	herring1		
7	1	7	this	this.DEM.NEAR.SG				CHL	eng	herring1		
8	1	8	thing	thing.N.SG				CHL	eng	herring1		
9	1	9	with	with.PREP				CHL	eng	herring1		
10	1	10	Oprah	name				CHL	eng&spa	herring1		
11	1	11	.					CHL	999	herring1		
12	2	1	that	that.CONJ.[or].that.DEM.FAR				CHL	eng	herring1		
13	2	2	she's	she.PRON.SUB.F.3S+BE.V.3S.PRES				CHL	eng	herring1		
14	2	3	a	a.DET.INDEF				CHL	eng	herring1		
15	2	4	new	new.ADJ				CHL	eng	herring1		
16	2	5	age	age.N.SG				CHL	eng	herring1		
17	2	6	thing	thing.N.SG				CHL	eng	herring1		
18	2	7	.					CHL	999	herring1		
19	3	1	and	and.CONJ				CHL	eng	herring1		
20	3	2	she's	she.PRON.SUB.F.3S+BE.V.3S.PRES				CHL	eng	herring1		
21	3	3	a	a.DET.INDEF				CHL	eng	herring1		
22	3	4	book	book.N.SG				CHL	eng&spa	herring1		
23	3	5	.					CHL	999	herring1		
24	4	1	and	and.CONJ				CHL	eng	herring1		
25	4	2	she	she.PRON.SUB.F.3S				CHL	eng	herring1		
26	4	3	has	ha.IM+V 3S PRES.[or].has.V.3S.PRES				CHL	eng	herring1		
27	4	4	a	a.DET.INDEF				CHL	eng	herring1		
28	4	5	video	video.N.SG				CHL	eng	herring1		
29	4	6	blog	unk				CHL	eng	herring1		
30	4	7	.					CHL	999	herring1		
31	5	1	and	and.CONJ				CHL	eng	herring1		
32	5	2	she's	she.PRON.SUB.F.3S+BE.V.3S.PRES				CHL	eng	herring1		
33	5	3	promoting	unk				CHL	eng	herring1		
34	5	4	her	her.ADJ.POSS.F.3S				CHL	eng	herring1		
35	5	5	book	book.N.SG				CHL	eng	herring1		
36	5	6	after	after.PREP				CHL	eng	herring1		
37	5	7	her	her.ADJ.POSS.F.3S				CHL	eng	herring1		
38	5	8	show	show.N.SG				CHL	eng	herring1		
39	5	9	.					CHL	999	herring1		
40	6	1	it's	it.PRON.SUB.3S+BE.V.3S.PRES				CHL	eng	herring1		
41	6	2	weird	weird.ADJ				CHL	eng	herring1		
42	6	3	.					CHL	999	herring1		
43	7	1	I'm	I.PRON.SUB.1S+BE.V.PRES				CHL	eng	herring1		
44	7	2	gonna	go.V.PRESPART+TO.PREP				CHL	eng	herring1		
45	7	3	go	go.V.INFIN				CHL	eng	herring1		
46	7	4	online	unk				CHL	eng	herring1		
47	7	5	to	to.PREP				CHL	eng	herring1		
48	7	6	see	see.V.INFIN				CHL	eng	herring1		
49	7	7	what	what.REL				CHL	eng	herring1		
50	7	8	it's	it.PRON.SUB.3S+BE.V.3S.PRES				CHL	eng	herring1		
51	7	9	all	all.ADJ				CHL	eng	herring1		
52	7	10	about	about.PREP				CHL	eng	herring1		
53	7	11	.					CHL	999	herring1		
54	8	1	a	a.DET.INDEF				LAU	eng	herring1		
55	8	2	new	new.ADJ				LAU	eng	herring1		
56	8	3	age	age.N.SG				LAU	eng	herring1		
57	8	4	thing	thing.N.SG				LAU	eng	herring1		
58	8	5	?					LAU	999	herring1		
59	9	1	yeah	yeah.ADV				CHL	eng	herring1		
60	9	2	like	like.CONJ.[or].like.SV.INFIN				CHL	eng	herring1		
61	9	3	that	that.DEM.FAR				CHL	eng	herring1		
62	9	4	your	your.ADJ.POSS.2SP				CHL	eng	herring1		
63	9	5	own	own.PRON				CHL	eng	herring1		
64	9	6	you're	you.PRON.SUB.2SP+BE.V.PRES				CHL	eng	herring1		
65	9	7	your	your.ADJ.POSS.2SP				CHL	eng	herring1		
66	9	8	own	own.ADJ				CHL	eng	herring1		
67	9	9	god	god.N.SG				CHL	eng	herring1		
68	9	10	.					CHL	999	herring1		
69	10	1	like	like.CONJ.[or].like.V.INFIN				LAU	eng	herring1		
70	10	2	this	this.DEM.NEAR.SG				LAU	eng	herring1		
71	10	3	.					LAU	999	herring1		
72	11	1	and	and.CONJ				CHL	eng	herring1		
73	11	2	stuff	stuff.V.INFIN				CHL	eng	herring1		
74	11	3	like	like.CONJ				CHL	eng	herring1		
75	11	4	that	that.DEM.FAR				CHL	eng	herring1		
76	11	5	.					CHL	999	herring1		
77	12	1	I've	I.PRON.SUB.1S+HAVE.V.PRES				LAU	eng	herring1		
78	12	2	heard	heard.V.PASTPART				LAU	eng	herring1		
79	12	3	of	of.PREP				LAU	eng	herring1		
80	12	4	those	those.DEM.FAR.PL				LAU	eng	herring1		
81	12	5	things	thing.N.PL				LAU	eng	herring1		
82	12	6	.					LAU	999	herring1		
83	13	1	she's	she.PRON.SUB.F.3S+BE.V.3S.PRES				LAU	eng	herring1		
84	13	2	into	into.PREP				LAU	eng	herring1		
85	13	3	that	that.CONJ.[or].that.DEM.FAR				LAU	eng	herring1		
86	13	4	now	now.ADV				LAU	eng	herring1		
87	13	5	?					LAU	999	herring1		
88	14	1	I	I.PRON.SUB.1S				CHL	eng	herring1		
89	14	2	guess	guess.V.1S.PRES				CHL	eng	herring1		
90	14	3	.					CHL	999	herring1		
91	15	1	you	you.PRON.SUB.2SP				LAU	eng	herring1		
92	15	2	know	know.V.2SP.PRES				LAU	eng	herring1		
93	15	3	and	and.CONJ				LAU	eng	herring1		
94	15	4	the	the.DET.DEF				LAU	eng	herring1		
95	15	5	other	other.ADJ				LAU	eng	herring1		
96	15	6	she	she.PRON.SUB.F.3S				LAU	eng	herring1		
97	15	7	has	ha.IM+V 3S PRES.[or].has.V.3S.PRES				LAU	eng	herring1		
98	15	8	a	a.DET.INDEF				LAU	eng	herring1		
99	15	9	new	new.ADJ				LAU	eng	herring1		
100	15	10	show	show.N.SG				LAU	eng	herring1		
101	15	11	about	about.PREP				LAU	eng	herring1		
102	15	12	.					LAU	999	herring1		
103	16	1	she	she.PRON.SUB.F.3S				LAU	eng	herring1		
104	16	2	gets	get.V.3S.PRES				LAU	eng	herring1		
105	16	3	like	like.CONJ				LAU	eng	herring1		
106	16	4	ten	ten.NUM				LAU	eng	herring1		
107	16	5	people	people.N.SG				LAU	eng	herring1		
108	16	6	.					LAU	999	herring1		
109	17	1	mmhm	mmhm.IM				CHL	eng	herring1		
110	17	2	.					CHL	999	herring1		
111	18	1	and	and.CONJ				LAU	eng	herring1		
112	18	2	they	they.PRON.SUB.3P				LAU	eng	herring1		
