word_id	utterance_id	location	surface	auto	fix	speaker	langid	filename	clause	clauseno
1	1	1	she	she.PRON.SUB.F.3S		COL	eng	sastre13		
2	1	2	is	is.V.3S.PRES		COL	eng	sastre13		
3	1	3	actually	actual.ADJ+ADV		COL	eng	sastre13		
4	1	4	putting	put.V.PRESPART		COL	eng	sastre13		
5	1	5	of	of.PREP		COL	eng	sastre13		
6	1	6	her	her.ADJ.POSS.F.3S		COL	eng	sastre13		
7	1	7	own	own.ADJ		COL	eng	sastre13		
8	1	8	money	money.N.SG		COL	eng	sastre13		
9	1	9	.			COL	999	sastre13		
10	2	1	like	like.CONJ		COL	eng	sastre13		
11	2	2	she	she.PRON.SUB.F.3S		COL	eng	sastre13		
12	2	3	.			COL	999	sastre13		
13	3	1	yeah	yeah.ADV		ELI	eng	sastre13		
14	3	2	but	but.CONJ		ELI	eng	sastre13		
15	3	3	I	I.PRON.SUB.1S		ELI	eng	sastre13		
16	3	4	think	think.V.1S.PRES		ELI	eng	sastre13		
17	3	5	that	that.CONJ.[or].that.DEM.FAR		ELI	eng	sastre13		
18	3	6	they	they.PRON.SUB.3P		ELI	eng	sastre13		
19	3	7	.			ELI	999	sastre13		
20	4	1	I	I.PRON.SUB.1S		ELI	eng	sastre13		
21	4	2	don't	do.V.1S.PRES+NEG		ELI	eng	sastre13		
22	4	3	know	know.V.INFIN		ELI	eng	sastre13		
23	4	4	.			ELI	999	sastre13		
24	5	1	and	and.CONJ		COL	eng	sastre13		
25	5	2	so	so.ADV		COL	eng	sastre13		
26	5	3	now	now.ADV		COL	eng	sastre13		
27	5	4	what's	what.REL+GB		COL	eng	sastre13		
28	5	5	happening	happen.SV.INFIN+ASV		COL	eng	sastre13		
29	5	6	is	is.V.3S.PRES		COL	eng	sastre13		
30	5	7	basically	basically.ADV		COL	eng	sastre13		
31	5	8	what	what.REL		COL	eng	sastre13		
32	5	9	they're	they.PRON.SUB.3P+BE.V.PRES		COL	eng	sastre13		
33	5	10	saying	say.V.PRESPART		COL	eng	sastre13		
34	5	11	is	is.V.3S.PRES		COL	eng	sastre13		
35	5	12	that	that.CONJ.[or].that.DEM.FAR		COL	eng	sastre13		
36	5	13	in	in.PREP		COL	eng	sastre13		
37	5	14	order	ord.N.SG+COMP.AG.[or].order.N.SG		COL	eng	sastre13		
38	5	15	for	for.PREP		COL	eng	sastre13		
39	5	16	Barack	name		COL	eng&spa	sastre13		
40	5	17	to	to.PREP		COL	eng	sastre13		
41	5	18	win	win.V.INFIN		COL	eng	sastre13		
42	5	19	like	like.CONJ		COL	eng	sastre13		
43	5	20	the	the.DET.DEF		COL	eng	sastre13		
44	5	21	entire	entire.ADJ		COL	eng	sastre13		
45	5	22	election	election.N.SG		COL	eng	sastre13		
46	5	23	in	in.PREP		COL	eng	sastre13		
47	5	24	order	ord.N.SG+COMP.AG.[or].order.N.SG		COL	eng	sastre13		
48	5	25	for	for.PREP		COL	eng	sastre13		
49	5	26	him	him.PRON.OBJ.M.3S		COL	eng	sastre13		
50	5	27	to	to.PREP		COL	eng	sastre13		
51	5	28	become	become.V.INFIN		COL	eng	sastre13		
52	5	29	president	president.N.SG		COL	eng	sastre13		
53	5	30	he	he.PRON.SUB.M.3S		COL	eng	sastre13		
54	5	31	has	ha.IM+V 3S PRES.[or].has.V.3S.PRES		COL	eng	sastre13		
55	5	32	to	to.PREP		COL	eng	sastre13		
56	5	33	basically	basically.ADV		COL	eng	sastre13		
57	5	34	get	get.V.INFIN		COL	eng	sastre13		
58	5	35	her	her.ADJ.POSS.F.3S		COL	eng	sastre13		
59	5	36	support	support.N.SG		COL	eng	sastre13		
60	5	37	.			COL	999	sastre13		
61	6	1	mmhm	mmhm.IM		ELI	eng	sastre13		
62	6	2	.			ELI	999	sastre13		
63	7	1	so	so.ADV		COL	eng	sastre13		
64	7	2	he	he.PRON.SUB.M.3S		COL	eng	sastre13		
65	7	3	can	can.V.3S.PRES		COL	eng	sastre13		
66	7	4	get	get.V.INFIN		COL	eng	sastre13		
67	7	5	so	so.ADV		COL	eng	sastre13		
68	7	6	he	he.PRON.SUB.M.3S		COL	eng	sastre13		
69	7	7	can	can.V.3S.PRES		COL	eng	sastre13		
70	7	8	get	get.V.INFIN		COL	eng	sastre13		
71	7	9	the	the.DET.DEF		COL	eng	sastre13		
72	7	10	rest	rest.N.SG		COL	eng	sastre13		
