word_id	utterance_id	location	surface	auto	fix	eng	com	speaker	langid	filename	clause	clauseno
1	1	1	so	so.ADV				EMI	eng	sastre4		
2	1	2	listen	listen.SV.INFIN				EMI	eng	sastre4		
3	1	3	so	so.ADV				EMI	eng	sastre4		
4	1	4	if	if.CONJ				EMI	eng	sastre4		
5	1	5	you	you.PRON.SUB.2SP				EMI	eng	sastre4		
6	1	6	give	give.V.2SP.PRES				EMI	eng	sastre4		
7	1	7	.					EMI	999	sastre4		
8	2	1	ok	unk				EMI	eng	sastre4		
9	2	2	.					EMI	999	sastre4		
10	3	1	I'm	I.PRON.SUB.1S+BE.V.PRES				GIA	eng	sastre4		
11	3	2	gonna	go.V.PRESPART+TO.PREP				GIA	eng	sastre4		
12	3	3	do	do.V.INFIN				GIA	eng	sastre4		
13	3	4	it	it.PRON.OBJ.3S				GIA	eng	sastre4		
14	3	5	.					GIA	999	sastre4		
15	4	1	ok	unk				EMI	eng	sastre4		
16	4	2	look	look.SV.INFIN				EMI	eng	sastre4		
17	4	3	tus	your.ADJ.POSS.MF.2S.PL				EMI	spa	sastre4		
18	4	4	gastos	expense.N.M.PL				EMI	spa	sastre4		
19	4	5	doscientos	two_hundred.N.M.PL				EMI	spa	sastre4		
20	4	6	cincuenta	fifty.NUM				EMI	spa	sastre4		
21	4	7	dollars	dollar.N.PL				EMI	eng	sastre4		
22	4	8	down	down.PREP				EMI	eng	sastre4		
23	4	9	.					EMI	999	sastre4		
24	5	1	yeah	yeah.ADV				GIA	eng	sastre4		
25	5	2	.					GIA	999	sastre4		
26	6	1	right	right.ADJ				EMI	eng	sastre4		
27	6	2	and	and.CONJ				EMI	eng	sastre4		
28	6	3	then	then.ADV				EMI	eng	sastre4		
29	6	4	you	you.PRON.SUB.2SP				EMI	eng	sastre4		
30	6	5	just	just.ADV				EMI	eng	sastre4		
31	6	6	pay	pay.V.2SP.PRES				EMI	eng	sastre4		
32	6	7	whatever	whatever.REL				EMI	eng	sastre4		
33	6	8	you	you.PRON.SUB.2SP				EMI	eng	sastre4		
34	6	9	can	can.V.2SP.PRES				EMI	eng	sastre4		
35	6	10	every	every.ADJ				EMI	eng	sastre4		
36	6	11	month	month.N.SG				EMI	eng	sastre4		
37	6	12	because	because.CONJ				EMI	eng	sastre4		
38	6	13	it's	it.PRON.SUB.3S+BE.V.3S.PRES				EMI	eng	sastre4		
39	6	14	not	not.ADV				EMI	eng	sastre4		
40	6	15	until	until.CONJ				EMI	eng	sastre4		
41	6	16	September	name				EMI	eng	sastre4		
42	6	17	the	the.DET.DEF				EMI	eng	sastre4		
43	6	18	cruise	cruise.N.SG				EMI	eng	sastre4		
44	6	19	.					EMI	999	sastre4		
45	7	1	yeah	yeah.ADV				GIA	eng	sastre4		
46	7	2	so	so.ADV				GIA	eng	sastre4		
47	7	3	like	like.CONJ				GIA	eng	sastre4		
48	7	4	fifty	fifty.NUM				GIA	eng	sastre4		
49	7	5	dollars	dollar.N.PL				GIA	eng	sastre4		
50	7	6	a	a.DET.INDEF				GIA	eng	sastre4		
51	7	7	month	month.N.SG				GIA	eng	sastre4		
52	7	8	.					GIA	999	sastre4		
53	8	1	yeah	yeah.ADV				EMI	eng	sastre4		
54	8	2	.					EMI	999	sastre4		
55	9	1	whatever	whatever.REL				EMI	eng	sastre4		
56	9	2	you	you.PRON.SUB.2SP				EMI	eng	sastre4		
57	9	3	can	can.V.2SP.PRES				EMI	eng	sastre4		
58	9	4	give	give.V.INFIN				EMI	eng	sastre4		
59	9	5	fifty	fifty.NUM				EMI	eng	sastre4		
60	9	6	dollars	dollar.N.PL				EMI	eng	sastre4		
61	9	7	or	or.CONJ				EMI	eng	sastre4		
62	9	8	so	so.ADV				EMI	eng	sastre4		
63	9	9	.					EMI	999	sastre4		
64	10	1	whatever	whatever.REL				EMI	eng	sastre4		
65	10	2	it's	it.PRON.SUB.3S+BE.V.3S.PRES				EMI	eng	sastre4		
66	10	3	you	you.PRON.SUB.2SP				EMI	eng	sastre4		
67	10	4	have	have.V.2SP.PRES				EMI	eng	sastre4		
68	10	5	until	until.CONJ				EMI	eng	sastre4		
69	10	6	the	the.DET.DEF				EMI	eng	sastre4		
70	10	7	time	time.N.SG				EMI	eng	sastre4		
71	10	8	of	of.PREP				EMI	eng	sastre4		
72	10	9	the	the.DET.DEF				EMI	eng	sastre4		
73	10	10	cruise	cruise.N.SG				EMI	eng	sastre4		
74	10	11	to	to.PREP				EMI	eng	sastre4		
75	10	12	pay	pay.V.INFIN				EMI	eng	sastre4		
76	10	13	.					EMI	999	sastre4		
77	11	1	is	is.V.3S.PRES				GIA	eng	sastre4		
78	11	2	this	this.DEM.NEAR.SG				GIA	eng	sastre4		
79	11	3	written	written.SV.INFIN				GIA	eng	sastre4		
80	11	4	refundable	refundable.ADJ.[or].refund.SV.INFIN+A.POT				GIA	eng	sastre4		
81	11	5	?					GIA	999	sastre4		
82	12	1	because	because.CONJ				GIA	eng	sastre4		
83	12	2	what	what.REL				GIA	eng	sastre4		
84	12	3	if	if.CONJ				GIA	eng	sastre4		
85	12	4	at	at.PREP				GIA	eng	sastre4		
86	12	5	the	the.DET.DEF				GIA	eng	sastre4		
87	12	6	end	end.N.SG				GIA	eng	sastre4		
88	12	7	we	we.PRON.SUB.1P				GIA	eng	sastre4		
89	12	8	don't	do.V.12S13P.PRES+NEG				GIA	eng	sastre4		
90	12	9	go	go.V.INFIN				GIA	eng	sastre4		
91	12	10	?					GIA	999	sastre4		
92	13	1	ok	unk				EMI	eng	sastre4		
93	13	2	.					EMI	999	sastre4		
94	14	1	the	the.DET.DEF				EMI	eng	sastre4		
95	14	2	everything	everything.PRON				EMI	eng	sastre4		
96	14	3	is	is.V.3S.PRES				EMI	eng	sastre4		
97	14	4	refundable	refundable.ADJ.[or].refund.SV.INFIN+A.POT				EMI	eng	sastre4		
98	14	5	up	up.ADV				EMI	eng	sastre4		
99	14	6	to	to.PREP				EMI	eng	sastre4		
100	14	7	sixty	sixty.NUM				EMI	eng	sastre4		
101	14	8	days	day.N.PL				EMI	eng	sastre4		
102	14	9	before	before.CONJ				EMI	eng	sastre4		
103	14	10	the	the.DET.DEF				EMI	eng	sastre4		
104	14	11	cruise	cruise.N.SG				EMI	eng	sastre4		
105	14	12	.					EMI	999	sastre4		
106	15	1	ok	unk				GIA	eng	sastre4		
107	15	2	.					GIA	999	sastre4		
108	16	1	you	you.PRON.SUB.2SP				EMI	eng	sastre4		
109	16	2	have	have.V.2SP.PRES				EMI	eng	sastre4		
110	16	3	up	up.ADV				EMI	eng	sastre4		
111	16	4	to	to.PREP				EMI	eng	sastre4		
112	16	5	sixty	sixty.NUM				EMI	eng	sastre4		
113	16	6	days	day.N.PL				EMI	eng	sastre4		
114	16	7	before	before.CONJ				EMI	eng	sastre4		
115	16	8	the	the.DET.DEF				EMI	eng	sastre4		
116	16	9	cruise	cruise.N.SG				EMI	eng	sastre4		
117	16	10	to	to.PREP				EMI	eng	sastre4		
118	16	11	decide	decide.V.INFIN				EMI	eng	sastre4		
119	16	12	whether	whether.CONJ				EMI	eng	sastre4		
120	16	13	or	or.CONJ				EMI	eng	sastre4		
121	16	14	not	not.ADV				EMI	eng	sastre4		
122	16	15	you	you.PRON.SUB.2SP				EMI	eng	sastre4		
123	16	16	want	want.V.2SP.PRES				EMI	eng	sastre4		
124	16	17	your	your.ADJ.POSS.2SP				EMI	eng	sastre4		
125	16	18	money	money.N.SG				EMI	eng	sastre4		
126	16	19	back	back.ADV.[or].back.N.SG				EMI	eng	sastre4		
127	16	20	.					EMI	999	sastre4		
