word_id	utterance_id	location	surface	auto	fix	eng	com	speaker	langid	filename	clause	clauseno
1	1	1	that's	that.DEM.FAR+BE.V.3S.PRES				NAT	eng	zeledon7		
2	1	2	your	your.ADJ.POSS.2SP				NAT	eng	zeledon7		
3	1	3	mom's	mom.N.SG+=POSS				NAT	eng	zeledon7		
4	1	4	opinion	opinion.N.SG				NAT	eng	zeledon7		
5	1	5	.					NAT	999	zeledon7		
6	2	1	and	and.CONJ				NAT	eng	zeledon7		
7	2	2	your	your.ADJ.POSS.2SP				NAT	eng	zeledon7		
8	2	3	dad's	dad.N.SG+GB				NAT	eng	zeledon7		
9	2	4	opinon	unk				NAT	eng	zeledon7		
10	2	5	.					NAT	999	zeledon7		
11	3	1	and	and.CONJ				NAT	eng	zeledon7		
12	3	2	I'm	I.PRON.SUB.1S+BE.V.PRES				NAT	eng	zeledon7		
13	3	3	my	my.ADJ.POSS.1S				NAT	eng	zeledon7		
14	3	4	my	my.ADJ.POSS.1S				NAT	eng	zeledon7		
15	3	5	my	my.ADJ.POSS.1S				NAT	eng	zeledon7		
16	3	6	parents'	unk				NAT	eng	zeledon7		
17	3	7	opinion	opinion.N.SG				NAT	eng	zeledon7		
18	3	8	.					NAT	999	zeledon7		
19	4	1	it	it.PRON.SUB.3S				NAT	eng	zeledon7		
20	4	2	changes	change.V.3S.PRES				NAT	eng	zeledon7		
21	4	3	.					NAT	999	zeledon7		
22	5	1	don't	do.V.12S13P.PRES+NEG				NAT	eng	zeledon7		
23	5	2	you	you.PRON.SUB.2SP				NAT	eng	zeledon7		
24	5	3	think	think.V.2SP.PRES				NAT	eng	zeledon7		
25	5	4	?					NAT	999	zeledon7		
26	6	1	.					JAS	999	zeledon7		
27	7	1	criticones	unk				JAS	eng	zeledon7		
28	7	2	.					JAS	999	zeledon7		
29	8	1	yours	your.ADJ.POSS.2SP+PV.[or].yours.PRON.POSS.2SP				NAT	eng	zeledon7		
30	8	2	not	not.ADV				NAT	eng	zeledon7		
31	8	3	mine	mine.PRON.POSS.1S				NAT	eng	zeledon7		
32	8	4	.					NAT	999	zeledon7		
33	9	1	well	well.ADV				NAT	eng	zeledon7		
34	9	2	my	my.ADJ.POSS.1S				NAT	eng	zeledon7		
35	9	3	dad	dad.N.SG				NAT	eng	zeledon7		
36	9	4	yeah	yeah.ADV				NAT	eng&spa	zeledon7		
37	9	5	big	big.ADJ				NAT	eng	zeledon7		
38	9	6	time	time.N.SG				NAT	eng	zeledon7		
39	9	7	.					NAT	999	zeledon7		
40	10	1	.					JAS	999	zeledon7		
41	11	1	imagínate	unk				JAS	eng	zeledon7		
42	11	2	tu	your.ADJ.POSS.MF.2S.SG				JAS	spa	zeledon7		
43	11	3	papá	daddy.N.M.SG				JAS	spa	zeledon7		
44	11	4	tu	your.ADJ.POSS.MF.2S.SG				JAS	spa	zeledon7		
45	11	5	mamá	mum.N.F.SG				JAS	spa	zeledon7		
46	11	6	.					JAS	999	zeledon7		
47	12	1	oye	hear.V.2S.IMPER				JAS	spa	zeledon7		
48	12	2	cómo	how.INT				JAS	spa	zeledon7		
49	12	3	trabajar	work.V.INFIN				JAS	spa	zeledon7		
50	12	4	ahí	there.ADV				JAS	spa	zeledon7		
51	12	5	.					JAS	999	zeledon7		
52	13	1	no	not.ADV				NAT	spa	zeledon7		
53	13	2	la	the.DET.DEF.F.SG				NAT	spa	zeledon7		
54	13	3	verdad	truth.N.F.SG				NAT	spa	zeledon7		
